Sentence ID,HIT ID,Formality,Informativeness,Implicature,Length in Words,Length in Characters,F-score,I-score,Lexical Density,Sentence
0,3URJ6VVYUOMECRP6V4GMF5FCRMT4OQ,6.2,5.8,3.4,33,201,93.9393939394,7.24242424242,66.6666666667,"10In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, technicians maneuver a second roll control system module into place for installation in the Ares I-X segment."
1,3XH7ZM9YX1TI6ANY4RTHQ8VXO1R9R0,6.0,6.4,4.0,45,266,85.5555555556,5.2,62.2222222222,"12The oxygen vent arm and hood removed from the fixed service structure at NASA Kennedy Space Center's Launch Pad 39B is ready for transfer from the pad to a storage facility, after the pad was transferred from the Space Shuttle Program to the Constellation Program."
2,3MXX6RQ9EU4WXR17A4T145K21RP4P7,5.8,6.4,3.6,29,186,93.1034482759,3.89655172414,65.5172413793,"13In the Rotation, Processing and Surge Facility at NASA's Kennedy Space Center in Florida, a technician performs propellant grain inspection of the inside of the Ares I-X motor segment."
3,3TFJJUELSGO30ODG1LO7RQOXIUEC25,5.2,5.8,3.6,16,98,87.5,3.375,68.75,"14In the Vehicle Assembly Building's High Bay 4, assembly of the Ares I-X rocket nears completion."
4,3CRWSLD91J3UGHEC18GI1ZWCDDEMO3,4.6,4.8,3.2,19,108,84.2105263158,6.21052631579,63.1578947368,"15In the Vehicle Assembly Building's High Bay 3, a yellow framework, lifts Super Stack 5 atop Super Stack 4."
5,3E9ZFLPWOXRVE72DHK5MSJGO88ZXI3,6.2,5.8,3.6,23,142,93.4782608696,5.0,73.9130434783,16Work platforms surround the Ares I-X launch vehicle in the Vehicle Assembly Building's High Bay 4 at NASA's Kennedy Space Center in Florida.
6,36FFXPMST8N8O3D1AB059UOGWRFHOP,6.0,6.4,3.6,36,212,91.6666666667,5.52777777778,61.1111111111,"17In the Vehicle Assembly Building's High Bay 3 at Kennedy Space Center in Florida, a technician works on a platform mounted on the interior wall of the upper stage simulator of the 327-foot-tall Ares I-X rocket."
7,3EFNPKWBMRN8REEJT59SFZROFJI03C,5.8,6.2,4.8,35,208,82.8571428571,4.88571428571,71.4285714286,"18The Ares I-X rocket, shown in in High Bay 3 of Kennedy Space Center's Vehicle Assembly Building is being prepared for this week's Launch Vehicle Readiness Test in Cape Canaveral, Fla., Monday, Oct. 5, 2009."
8,3OB6JN3A9POXDU6ST0XMVU1HO0YMRC,5.8,6.6,1.8,30,183,83.3333333333,4.46666666667,66.6666666667,"19The 327-foot-tall Ares I-X test rocket moves slowly to launch pad 39B from the Vehicle Assembly Building at the Kennedy Space Center in Cape Canaveral, Fla., Tuesday, Oct. 20, 2009."
9,3HFWPF5AK8I8SNYV27SCP5X7AB0S3Q,3.6,5.2,3.0,10,55,35.0,5.7,70.0,1. bluetooth isn't turned on prior to trying to connect
10,367O8HRHKF7TAJHZ2LXVZAPDOBW4SN,3.2,4.4,3.0,16,80,75.0,7.125,43.75,1) Check out this random object we found at a thrift store (via the link below).
11,3QI9WAYOGPA7P6LDL9QAW89RK22S6W,3.6,6.2,2.8,13,71,61.5384615385,6.15384615385,61.5384615385,1. Go into the printers control panel and choose Printer > Add Printer.
12,3UOMW19E6C5VZLW3J4Q5PXR9245C56,5.0,4.2,2.0,5,42,60.0,7.0,40.0,1. Go to System/Administration/Printing 2.
13,3UL5XDRDNBITNI6Q2SA0NBVQCDL58U,2.2,2.8,3.8,5,18,50.0,6.0,40.0,1. I have no clue.
14,3H6W48L9F3O86TKRKAZKZX3TLKOPWE,2.6,2.8,3.6,32,161,50.0,4.1875,50.0,"1. I know exactly how to convert my iTMS files to unprottected MP3's (Audio Hijack Pro), but what do I do about videos downloaded on iTMS (I have a lot of them)?"
15,37SDSEDIN81UZ057158OKLI90XG81F,1.0,2.4,6.4,9,44,61.1111111111,2.66666666667,44.4444444444,1. Is Levi Johnston screwing with all of us?
16,3EN4YVUOUBRR9IMJZ2QM4KVOLNOXJF,3.0,4.2,5.2,11,58,50.0,5.63636363636,63.6363636364,1) Kids love coming here if they enjoy the great outdoors.
17,33KMQD9OFID4A8FQGGXR7VDRSZ977N,3.2,5.2,3.8,14,69,75.0,7.28571428571,50.0,1) make sure that there is a valid driver for your printer in ubuntu.
18,3YO4AH2FPCJ0YFKLRGLOS7KZPBVQ04,5.2,5.4,4.4,9,56,83.3333333333,6.0,66.6666666667,1.) The European Union strikes a climate financing deal.
19,36BTXXLZ2U7H94HMNWXQ90KH29CR4L,2.2,2.4,5.2,8,35,31.25,3.0,50.0,1. Where should we park to do this.
20,3SD15I2WD1T35P0YVUP9O01FSM436G,5.6,6.0,2.4,42,252,78.5714285714,4.54761904762,59.5238095238,$200 million in stimulus funds flows to Georgia to update power grid: More than $200 million in federal stimulus money is expected to flow into projects in Georgia as part of the Obama Administration's plans to upgrade the nation's aging electric grid.
21,3ZUE82NE090LPFZF84N99NM317YF8M,6.0,6.6,2.6,28,193,87.5,4.85714285714,67.8571428571,20The driver of the crawler-transporter slowly maneuvers the huge vehicle under the mobile launcher platform holding the 327-foot-tall Ares I-X rocket at NASA's Kennedy Space Center in Florida.
22,34HEO7RUG5TWBTX3WX7HM36HUJAARH,4.8,5.6,4.4,22,126,86.3636363636,5.68181818182,59.0909090909,"21NASA's Ares 1-X rocket rolls out to launch pad 39-B at the Kennedy Space Center October 20, 2009 in Cape Canaveral, Florida."
23,3WJGKMRWVH8Q3YBWYA8ON9F1FL3CDE,6.0,6.0,3.8,23,126,78.2608695652,5.04347826087,65.2173913043,"22NASA's Ares I-X rocket is seen on launch pad 39b at the Kennedy Space Center in Cape Canaveral, Fla., Monday, Oct. 26, 2009."
24,3WRBLBQ2GQ79LQQ7OKGCYTGXJON0GK,4.8,5.8,2.2,32,173,84.375,5.3125,62.5,"23The top section of NASA's new Ares 1-X test vehicle is reflected in a pond as an alligator lurks near launch pad 39-B at Kennedy Space Center, Florida on October 26, 2009."
25,3FVBZG9CLIDNLMLI8QYUJTSYYO00HJ,6.6,5.8,2.6,28,164,85.7142857143,5.67857142857,57.1428571429,"24The Ares 1-X test rocket lifts off on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida, October 28, 2009."
26,3BFNCI9LYJPM9PE3E4U1UE1BNXO37F,5.8,6.4,3.4,22,128,79.5454545455,5.45454545455,59.0909090909,"25NASA's Ares 1-X rocket lifts off from launch pad 39-b at the Kennedy Space Center October 28, 2009 in Cape Canaveral, Florida."
27,36AZSFEYZ3ZTNAJCBVCNIBFQX77VBP,5.2,6.4,4.2,35,201,92.8571428571,4.57142857143,62.8571428571,"26A cone of moisture surrounds part of the Ares I-X rocket during lift off Wednesday, Oct. 28, 2009, on a sub-orbital test flight from the Kennedy Space Center's Launch Pad 39-B in Cape Canaveral, Fla."
28,3OKP4QVBP1W5M3OPGMD5NZSASAZGAR,5.8,7.0,5.4,30,173,88.3333333333,4.2,56.6666666667,"27The Ares 1-X test rocket climbs into the sky on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida October 28, 2009."
29,35A1YQPVFDFMCOI3BEMR00P4F9PI5E,5.4,6.2,3.4,30,194,86.6666666667,5.76666666667,70.0,"28NASA's new Ares 1-X test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch Kennedy Space Center's launch pad 39-B in Florida on October 28, 2009."
30,3VO4XFFP14LEGQK5CF6X7MUMXP1Q74,5.6,5.8,2.2,15,101,80.0,4.13333333333,66.6666666667,2. Add a printer and enter the appropriate  ipp://[ip address]:[port]/ipp/P1  in the Device URI field
31,3909MD9T2YG2YG96L7991XIPCAWFEL,4.6,4.8,2.8,10,52,80.0,4.5,60.0,"2Ares I First Stage Motor Unveiled on July 20, 2009."
32,3JMQI2OLFY49U28NN0H23K9DEPIDNY,3.6,2.6,4.6,9,38,66.6666666667,4.77777777778,44.4444444444,2) Create a story about in in 6 words.
33,3MYASTQBG6AUXZLF3S9J7E4IJ05DQL,5.2,4.2,3.0,6,31,91.6666666667,8.16666666667,66.6666666667,2) Double click on New Printer.
34,30EMX9PEVJIEOL62NDKB6RE9LXMSK1,3.8,3.6,3.0,24,112,60.4166666667,5.58333333333,70.8333333333,"2. I have read sites detailing how to dual boot OS X and Dapper, but is there a way to single boot- only Dapper?"
35,31MBOZ6PANQ91AZOBR6C6MN6OU5CLU,3.4,2.2,4.6,10,41,75.0,5.3,50.0,2. Is the cave of the winds hard to walk?
36,3QREJ3J432WRK8BC34NAU50ET3EKLF,1.4,4.8,3.2,13,62,61.5384615385,2.92307692308,69.2307692308,2) Just wipe the Mac OS X partition when u install the dapper.
37,3IHWR4LC7CC5Z6159CTUCKZVHZQI8G,4.8,5.0,4.8,7,44,78.5714285714,0.571428571429,71.4285714286,2) Marty Peretz apologizes to Matt Yglesias.
38,3YCT0L9OML8FWRR5KQCRYJVDFSRSN6,5.4,6.6,3.6,12,69,75.0,2.41666666667,66.6666666667,2. Select Network Printer and use the listbox to choose HP JetDirect.
39,3FBEFUUYRJ43PAZJ494JB8FLYWVA6I,3.0,5.2,5.0,18,93,55.5555555556,5.5,61.1111111111,"2)There are some pools, but most fun can be had at the great beaches/ponds that we have here."
40,372AGES0I348765W77ZV6BHFV4IXR7,2.4,5.6,3.6,49,252,57.1428571429,4.4693877551,57.1428571429,"2. well I would try the live cd first, (also called the desktop cd, I don't know which architecture to use for the new intel macs, i'm sure you could ask some of the mac people here in the forums) to check for compatability of your hardware and ubuntu."
41,3UYRNV2KISYXD7CW6S6MHSVC3YKN81,1.2,1.8,5.0,8,40,37.5,1.875,50.0,2. What the hell isn't he talking about?
42,36JW4WBR05JEIQ08B8HFM0F24QOFH1,4.6,5.6,3.6,26,143,59.6153846154,3.03846153846,57.6923076923,"2) your print server IP address, which I assume is ""192.168.0.1"", normally it should be the same IP as the gateway, i.e your router IP address."
43,3AJA9FLWSBXEELBSHQZ0MCGH433IFX,2.2,1.4,3.4,12,79,75.0,2.08333333333,58.3333333333,"3. Anyone know about right-clicking on the MacBook, with it's one-button mouse?"
44,3OYHVNTV5SXZQTE9GW32MM48O8JKOW,5.0,5.0,5.2,7,44,92.8571428571,2.42857142857,71.4285714286,3.) Chamber of Commerce chief battles Obama.
45,37NXA7GVSS550J5O281HWEBV91LVLC,4.4,6.4,1.4,41,222,65.8536585366,3.51219512195,53.6585365854,"3) check on the ""Network Printer"" radio button and choose Unix Printer (LPD) and enter the IP address of your print server (for your case, it might be 192.168.0.1) for the ""host"" and lp for the Queue , then click ""forward"""
46,304QEQWKZOJXD375C3TK32PZAAE0O7,5.6,6.4,3.4,33,205,86.3636363636,5.75757575758,66.6666666667,"3Flames shot more than 100 feet high in a successful 5.5-second ground test firing Thursday, Nov. 20, 2008 of a launch abort motor for NASA's next generation spacecraft, the Orion crew exploration vehicle."
47,3VO4XFFP14LEGQK5CF6X7MUMXP17QL,2.4,3.0,4.6,11,52,81.8181818182,3.36363636364,63.6363636364,"3) ""Great beer and great wine are on the same team."""
48,3SA4EMRVJU1FY3J6R36ZS2UPKFA0PO,2.4,4.6,5.0,7,40,28.5714285714,6.0,71.4285714286,3. i believe you just press CTRL+(click)
49,31MCUE39BJL52IP477YV0RE4M073GI,4.6,4.2,2.4,12,55,91.6666666667,4.83333333333,50.0,3. In the Host box type the IP address of your printer.
50,3XDSWAMB21RKS7F13WE8N8M0Y0SCQJ,2.8,2.2,3.8,7,34,85.7142857143,5.0,57.1428571429,3) Purchase a new 2 button mouse..
51,31KPKEKW49CDU9IW8YOYXIP03BVB0E,4.6,5.8,3.0,15,94,66.6666666667,1.4,66.6666666667,"3. Select ""Network Printer"" and select ""HP JetDirect"" as the type. (instead of default ""CUPS"")"
52,3K3G488TR17ZTM6MOMR092GQ6J75Q5,5.2,6.0,3.2,29,156,60.3448275862,4.1724137931,55.1724137931,"3) Water sports and golf are abundant- and we have some of the greatest cycling in the world, we will be hosting the Ironman competition while you are here."
53,37PGLWGSJS5PU736I1QX2P8MCZKIKZ,4.4,5.0,4.6,7,36,50.0,2.42857142857,57.1428571429,3) We choose a winning 6-word story.
54,34F34TZU7VYQ82JMBD5TEU1S8EOJ2R,4.8,2.4,4.0,13,62,80.7692307692,2.61538461538,53.8461538462,3. Will the threat of a lawsuit do anything to the Palin camp?
