Sentence ID,HIT ID,Formality,Informativeness,Implicature,Length in Words,Length in Characters,F-score,I-score,Lexical Density,Sentence
9,3HFWPF5AK8I8SNYV27SCP5X7AB0S3Q,3.6,5.2,3.0,10,55,35.0,5.7,70.0,1. bluetooth isn't turned on prior to trying to connect
11,3QI9WAYOGPA7P6LDL9QAW89RK22S6W,3.6,6.2,2.8,13,71,61.5384615385,6.15384615385,61.5384615385,1. Go into the printers control panel and choose Printer > Add Printer.
12,3UOMW19E6C5VZLW3J4Q5PXR9245C56,5.0,4.2,2.0,5,42,60.0,7.0,40.0,1. Go to System/Administration/Printing 2.
13,3UL5XDRDNBITNI6Q2SA0NBVQCDL58U,2.2,2.8,3.8,5,18,50.0,6.0,40.0,1. I have no clue.
14,3H6W48L9F3O86TKRKAZKZX3TLKOPWE,2.6,2.8,3.6,32,161,50.0,4.1875,50.0,"1. I know exactly how to convert my iTMS files to unprottected MP3's (Audio Hijack Pro), but what do I do about videos downloaded on iTMS (I have a lot of them)?"
16,3EN4YVUOUBRR9IMJZ2QM4KVOLNOXJF,3.0,4.2,5.2,11,58,50.0,5.63636363636,63.6363636364,1) Kids love coming here if they enjoy the great outdoors.
17,33KMQD9OFID4A8FQGGXR7VDRSZ977N,3.2,5.2,3.8,14,69,75.0,7.28571428571,50.0,1) make sure that there is a valid driver for your printer in ubuntu.
19,36BTXXLZ2U7H94HMNWXQ90KH29CR4L,2.2,2.4,5.2,8,35,31.25,3.0,50.0,1. Where should we park to do this.
30,3VO4XFFP14LEGQK5CF6X7MUMXP1Q74,5.6,5.8,2.2,15,101,80.0,4.13333333333,66.6666666667,2. Add a printer and enter the appropriate  ipp://[ip address]:[port]/ipp/P1  in the Device URI field
33,3MYASTQBG6AUXZLF3S9J7E4IJ05DQL,5.2,4.2,3.0,6,31,91.6666666667,8.16666666667,66.6666666667,2) Double click on New Printer.
34,30EMX9PEVJIEOL62NDKB6RE9LXMSK1,3.8,3.6,3.0,24,112,60.4166666667,5.58333333333,70.8333333333,"2. I have read sites detailing how to dual boot OS X and Dapper, but is there a way to single boot- only Dapper?"
35,31MBOZ6PANQ91AZOBR6C6MN6OU5CLU,3.4,2.2,4.6,10,41,75.0,5.3,50.0,2. Is the cave of the winds hard to walk?
36,3QREJ3J432WRK8BC34NAU50ET3EKLF,1.4,4.8,3.2,13,62,61.5384615385,2.92307692308,69.2307692308,2) Just wipe the Mac OS X partition when u install the dapper.
38,3YCT0L9OML8FWRR5KQCRYJVDFSRSN6,5.4,6.6,3.6,12,69,75.0,2.41666666667,66.6666666667,2. Select Network Printer and use the listbox to choose HP JetDirect.
39,3FBEFUUYRJ43PAZJ494JB8FLYWVA6I,3.0,5.2,5.0,18,93,55.5555555556,5.5,61.1111111111,"2)There are some pools, but most fun can be had at the great beaches/ponds that we have here."
40,372AGES0I348765W77ZV6BHFV4IXR7,2.4,5.6,3.6,49,252,57.1428571429,4.4693877551,57.1428571429,"2. well I would try the live cd first, (also called the desktop cd, I don't know which architecture to use for the new intel macs, i'm sure you could ask some of the mac people here in the forums) to check for compatability of your hardware and ubuntu."
42,36JW4WBR05JEIQ08B8HFM0F24QOFH1,4.6,5.6,3.6,26,143,59.6153846154,3.03846153846,57.6923076923,"2) your print server IP address, which I assume is ""192.168.0.1"", normally it should be the same IP as the gateway, i.e your router IP address."
43,3AJA9FLWSBXEELBSHQZ0MCGH433IFX,2.2,1.4,3.4,12,79,75.0,2.08333333333,58.3333333333,"3. Anyone know about right-clicking on the MacBook, with it's one-button mouse?"
45,37NXA7GVSS550J5O281HWEBV91LVLC,4.4,6.4,1.4,41,222,65.8536585366,3.51219512195,53.6585365854,"3) check on the ""Network Printer"" radio button and choose Unix Printer (LPD) and enter the IP address of your print server (for your case, it might be 192.168.0.1) for the ""host"" and lp for the Queue , then click ""forward"""
48,3SA4EMRVJU1FY3J6R36ZS2UPKFA0PO,2.4,4.6,5.0,7,40,28.5714285714,6.0,71.4285714286,3. i believe you just press CTRL+(click)
49,31MCUE39BJL52IP477YV0RE4M073GI,4.6,4.2,2.4,12,55,91.6666666667,4.83333333333,50.0,3. In the Host box type the IP address of your printer.
50,3XDSWAMB21RKS7F13WE8N8M0Y0SCQJ,2.8,2.2,3.8,7,34,85.7142857143,5.0,57.1428571429,3) Purchase a new 2 button mouse..
51,31KPKEKW49CDU9IW8YOYXIP03BVB0E,4.6,5.8,3.0,15,94,66.6666666667,1.4,66.6666666667,"3. Select ""Network Printer"" and select ""HP JetDirect"" as the type. (instead of default ""CUPS"")"
52,3K3G488TR17ZTM6MOMR092GQ6J75Q5,5.2,6.0,3.2,29,156,60.3448275862,4.1724137931,55.1724137931,"3) Water sports and golf are abundant- and we have some of the greatest cycling in the world, we will be hosting the Ironman competition while you are here."
55,3U18MJKL1TLZPA29N4MRJERVTP5NC7,4.0,5.2,2.8,36,181,55.5555555556,5.5,58.3333333333,"3) you have to determine your print queue name, check with netgear for this, I am using Dlink DI-724P+ and the queue name is ""lp"", so perhaps you would want to have a try with this."
56,3IHWR4LC7CC5Z6159CTUCKZVHZR8I7,2.8,5.0,4.4,6,30,83.3333333333,6.0,83.3333333333,4-Albany NY has a great museum
58,38DCH97KHG170LL7DOVUACZVOK1QJB,2.6,2.6,3.8,3,17,83.3333333333,3.66666666667,66.6666666667,4. Click Forward.
59,3MIVREZQVGX2B5RPV9V6BRZ8391QKA,4.2,5.4,3.4,22,118,59.0909090909,6.22727272727,59.0909090909,"4)from here on, you should be able to carry on, choose the correct printer driver and do a test page after installing."
60,374UMBUHN4OXKN7TK083SDXNI7RCTX,5.0,5.6,2.6,13,63,88.4615384615,3.46153846154,53.8461538462,"4. In the ""host:"" box, type the IP address of the print server."
62,3ZC62PVYDG9S42R8G65NVT33WL3XX3,4.2,4.2,6.0,6,32,33.3333333333,10.1666666667,66.6666666667,"4)Please, do not take the train."
