Sentence ID,HIT ID,Formality,Informativeness,Implicature,Length in Words,Length in Characters,F-score,I-score,Lexical Density,Sentence
0,3URJ6VVYUOMECRP6V4GMF5FCRMT4OQ,6.2,5.8,3.4,33,201,93.9393939394,7.24242424242,66.6666666667,"10In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, technicians maneuver a second roll control system module into place for installation in the Ares I-X segment."
1,3XH7ZM9YX1TI6ANY4RTHQ8VXO1R9R0,6.0,6.4,4.0,45,266,85.5555555556,5.2,62.2222222222,"12The oxygen vent arm and hood removed from the fixed service structure at NASA Kennedy Space Center's Launch Pad 39B is ready for transfer from the pad to a storage facility, after the pad was transferred from the Space Shuttle Program to the Constellation Program."
2,3MXX6RQ9EU4WXR17A4T145K21RP4P7,5.8,6.4,3.6,29,186,93.1034482759,3.89655172414,65.5172413793,"13In the Rotation, Processing and Surge Facility at NASA's Kennedy Space Center in Florida, a technician performs propellant grain inspection of the inside of the Ares I-X motor segment."
3,3TFJJUELSGO30ODG1LO7RQOXIUEC25,5.2,5.8,3.6,16,98,87.5,3.375,68.75,"14In the Vehicle Assembly Building's High Bay 4, assembly of the Ares I-X rocket nears completion."
4,3CRWSLD91J3UGHEC18GI1ZWCDDEMO3,4.6,4.8,3.2,19,108,84.2105263158,6.21052631579,63.1578947368,"15In the Vehicle Assembly Building's High Bay 3, a yellow framework, lifts Super Stack 5 atop Super Stack 4."
5,3E9ZFLPWOXRVE72DHK5MSJGO88ZXI3,6.2,5.8,3.6,23,142,93.4782608696,5.0,73.9130434783,16Work platforms surround the Ares I-X launch vehicle in the Vehicle Assembly Building's High Bay 4 at NASA's Kennedy Space Center in Florida.
6,36FFXPMST8N8O3D1AB059UOGWRFHOP,6.0,6.4,3.6,36,212,91.6666666667,5.52777777778,61.1111111111,"17In the Vehicle Assembly Building's High Bay 3 at Kennedy Space Center in Florida, a technician works on a platform mounted on the interior wall of the upper stage simulator of the 327-foot-tall Ares I-X rocket."
7,3EFNPKWBMRN8REEJT59SFZROFJI03C,5.8,6.2,4.8,35,208,82.8571428571,4.88571428571,71.4285714286,"18The Ares I-X rocket, shown in in High Bay 3 of Kennedy Space Center's Vehicle Assembly Building is being prepared for this week's Launch Vehicle Readiness Test in Cape Canaveral, Fla., Monday, Oct. 5, 2009."
8,3OB6JN3A9POXDU6ST0XMVU1HO0YMRC,5.8,6.6,1.8,30,183,83.3333333333,4.46666666667,66.6666666667,"19The 327-foot-tall Ares I-X test rocket moves slowly to launch pad 39B from the Vehicle Assembly Building at the Kennedy Space Center in Cape Canaveral, Fla., Tuesday, Oct. 20, 2009."
10,367O8HRHKF7TAJHZ2LXVZAPDOBW4SN,3.2,4.4,3.0,16,80,75.0,7.125,43.75,1) Check out this random object we found at a thrift store (via the link below).
15,37SDSEDIN81UZ057158OKLI90XG81F,1.0,2.4,6.4,9,44,61.1111111111,2.66666666667,44.4444444444,1. Is Levi Johnston screwing with all of us?
18,3YO4AH2FPCJ0YFKLRGLOS7KZPBVQ04,5.2,5.4,4.4,9,56,83.3333333333,6.0,66.6666666667,1.) The European Union strikes a climate financing deal.
20,3SD15I2WD1T35P0YVUP9O01FSM436G,5.6,6.0,2.4,42,252,78.5714285714,4.54761904762,59.5238095238,$200 million in stimulus funds flows to Georgia to update power grid: More than $200 million in federal stimulus money is expected to flow into projects in Georgia as part of the Obama Administration's plans to upgrade the nation's aging electric grid.
21,3ZUE82NE090LPFZF84N99NM317YF8M,6.0,6.6,2.6,28,193,87.5,4.85714285714,67.8571428571,20The driver of the crawler-transporter slowly maneuvers the huge vehicle under the mobile launcher platform holding the 327-foot-tall Ares I-X rocket at NASA's Kennedy Space Center in Florida.
22,34HEO7RUG5TWBTX3WX7HM36HUJAARH,4.8,5.6,4.4,22,126,86.3636363636,5.68181818182,59.0909090909,"21NASA's Ares 1-X rocket rolls out to launch pad 39-B at the Kennedy Space Center October 20, 2009 in Cape Canaveral, Florida."
23,3WJGKMRWVH8Q3YBWYA8ON9F1FL3CDE,6.0,6.0,3.8,23,126,78.2608695652,5.04347826087,65.2173913043,"22NASA's Ares I-X rocket is seen on launch pad 39b at the Kennedy Space Center in Cape Canaveral, Fla., Monday, Oct. 26, 2009."
24,3WRBLBQ2GQ79LQQ7OKGCYTGXJON0GK,4.8,5.8,2.2,32,173,84.375,5.3125,62.5,"23The top section of NASA's new Ares 1-X test vehicle is reflected in a pond as an alligator lurks near launch pad 39-B at Kennedy Space Center, Florida on October 26, 2009."
25,3FVBZG9CLIDNLMLI8QYUJTSYYO00HJ,6.6,5.8,2.6,28,164,85.7142857143,5.67857142857,57.1428571429,"24The Ares 1-X test rocket lifts off on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida, October 28, 2009."
26,3BFNCI9LYJPM9PE3E4U1UE1BNXO37F,5.8,6.4,3.4,22,128,79.5454545455,5.45454545455,59.0909090909,"25NASA's Ares 1-X rocket lifts off from launch pad 39-b at the Kennedy Space Center October 28, 2009 in Cape Canaveral, Florida."
27,36AZSFEYZ3ZTNAJCBVCNIBFQX77VBP,5.2,6.4,4.2,35,201,92.8571428571,4.57142857143,62.8571428571,"26A cone of moisture surrounds part of the Ares I-X rocket during lift off Wednesday, Oct. 28, 2009, on a sub-orbital test flight from the Kennedy Space Center's Launch Pad 39-B in Cape Canaveral, Fla."
28,3OKP4QVBP1W5M3OPGMD5NZSASAZGAR,5.8,7.0,5.4,30,173,88.3333333333,4.2,56.6666666667,"27The Ares 1-X test rocket climbs into the sky on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida October 28, 2009."
29,35A1YQPVFDFMCOI3BEMR00P4F9PI5E,5.4,6.2,3.4,30,194,86.6666666667,5.76666666667,70.0,"28NASA's new Ares 1-X test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch Kennedy Space Center's launch pad 39-B in Florida on October 28, 2009."
31,3909MD9T2YG2YG96L7991XIPCAWFEL,4.6,4.8,2.8,10,52,80.0,4.5,60.0,"2Ares I First Stage Motor Unveiled on July 20, 2009."
32,3JMQI2OLFY49U28NN0H23K9DEPIDNY,3.6,2.6,4.6,9,38,66.6666666667,4.77777777778,44.4444444444,2) Create a story about in in 6 words.
37,3IHWR4LC7CC5Z6159CTUCKZVHZQI8G,4.8,5.0,4.8,7,44,78.5714285714,0.571428571429,71.4285714286,2) Marty Peretz apologizes to Matt Yglesias.
41,3UYRNV2KISYXD7CW6S6MHSVC3YKN81,1.2,1.8,5.0,8,40,37.5,1.875,50.0,2. What the hell isn't he talking about?
44,3OYHVNTV5SXZQTE9GW32MM48O8JKOW,5.0,5.0,5.2,7,44,92.8571428571,2.42857142857,71.4285714286,3.) Chamber of Commerce chief battles Obama.
46,304QEQWKZOJXD375C3TK32PZAAE0O7,5.6,6.4,3.4,33,205,86.3636363636,5.75757575758,66.6666666667,"3Flames shot more than 100 feet high in a successful 5.5-second ground test firing Thursday, Nov. 20, 2008 of a launch abort motor for NASA's next generation spacecraft, the Orion crew exploration vehicle."
47,3VO4XFFP14LEGQK5CF6X7MUMXP17QL,2.4,3.0,4.6,11,52,81.8181818182,3.36363636364,63.6363636364,"3) ""Great beer and great wine are on the same team."""
53,37PGLWGSJS5PU736I1QX2P8MCZKIKZ,4.4,5.0,4.6,7,36,50.0,2.42857142857,57.1428571429,3) We choose a winning 6-word story.
54,34F34TZU7VYQ82JMBD5TEU1S8EOJ2R,4.8,2.4,4.0,13,62,80.7692307692,2.61538461538,53.8461538462,3. Will the threat of a lawsuit do anything to the Palin camp?
57,35U0MRQMUI6D648LF0H9OVFP46QVOT,3.4,2.2,5.8,8,46,68.75,7.375,75.0,4.) Are washing machines the new water savers?
61,3HEADTGN2ORG3H017SYDIQKUFTAVR2,5.4,6.2,2.0,21,125,83.3333333333,4.19047619048,71.4285714286,"4NASA and ATK successfully conducted an Ares I main cluster parachute test at the U.S. Army Proving Grounds in Yuma, Arizona."
63,3X52SWXE0W4PC4BNF5DEFX4MM19CWN,5.0,5.4,4.0,13,68,65.3846153846,2.76923076923,53.8461538462,"4) The story, along with the object, will then be auctioned on eBay."
64,3M0556243RJ6SMMJE6CSRKCYQ2XNFI,6.4,5.2,4.8,12,80,75.0,6.58333333333,58.3333333333,"4) ""We find no clear relation between income inequality and class-based voting."""
66,3YGE63DIN7W5ICG73PKUKW2LDCD0WJ,3.2,3.0,6.0,7,47,78.5714285714,2.57142857143,71.4285714286,5.) Harry Potter sports an environmental audit.
69,3J06WJ78HMJ8WOHIGC3NJN9X0ZNVVV,4.8,6.2,2.2,30,170,81.6666666667,3.33333333333,56.6666666667,"5On Sept. 10, 2009, NASA and industry engineers lit up the Utah sky with the initial full-scale, full-duration test firing of the first stage motor for the Ares I rocket."
70,31ODACBENTE0ZO4X0I482DQIK3EQSR,2.6,5.0,4.0,11,57,59.0909090909,6.72727272727,54.5454545455,5) The winning six-word writer gets to keep all the loot.
71,3MQKOF1EE1NZHWH1F18PZ3M471MDWP,2.2,4.4,3.6,11,56,54.5454545455,4.63636363636,63.6363636364,"6:13: So far, we've had a mummy, a cowboy, a ladybug...."
72,3OKP4QVBP1W5M3OPGMD5NZSASAYAGK,5.2,6.0,2.2,31,173,83.8709677419,4.58064516129,67.7419354839,"6At the Shuttle Landing Facility at NASA's Kennedy Space Center in Florida, hardware that will be used in the launch of the Ares I-X rocket is offloaded from a C-5 aircraft."
74,39O6Z4JLX1W00DMDGR45786IGAVVXY,1.4,1.6,3.6,3,14,50.0,0.0,66.6666666667,"6) Fun, right?"
76,3W9XHF7WGJUF3LJHCDP1GWAVNG0KTI,3.0,5.2,4.2,15,76,36.6666666667,4.73333333333,60.0,"7:16: We've been honing our act, and we finally got 4 little girls to laugh."
77,32PT7WK7DLE2QYFD5HXNU6B798QD3H,5.6,6.6,3.8,38,266,72.3684210526,3.52631578947,60.5263157895,"7 Florida utilities and tech firm to receive $264 million: Energy grants announced Tuesday by President Obama include $264 million for seven Florida utilities and an Orlando technology company, with each grant requiring final negotiations and matching contributions."
80,3PUV2Q8SV337TTJQKACTCP9JX04BD7,5.2,5.8,4.8,33,202,87.8787878788,5.69696969697,72.7272727273,"8In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, the Ares I-X upper stage simulator service module/service adapter (left, center) has been installed on a stand."
81,38O9DZ0A61MEK74FRUB45QWNM84628,5.6,6.4,4.2,32,185,89.0625,4.84375,68.75,"9In the Vehicle Assembly Building's High Bay 3 at NASA's Kennedy Space Center in Florida, the Ares I-X aft center booster segment is lowered for attachment to the aft booster and skirt."
82,3X2YVV51PT35P11PZ8OUY1LVI4IW1H,5.6,6.6,4.0,32,159,78.125,2.5,43.75,"A $1999 option upgrades the CPU to a ""Nehalem"" quad core 2.66GHz Core i5 750 processor, or for $200 more, a Core i7 860, both of which include 8MB of L3 cache."
88,3DA79LNS58U97NBAR7X2ZATTCUET3G,5.6,5.8,4.0,20,147,80.0,4.45,75.0,"Abdullah Abdullah, Karzai's challenger, has threatened a possible boycott, saying that the Afghan election commission is in the president's pocket."
94,3JGHED38ECQNPSBR3PNRK8XOWYIY7F,5.8,6.4,3.2,57,328,80.701754386,5.64912280702,66.6666666667,"ABOARD U.S.S. NEW YORK, off Virginia - The fresh sun warmed sea air swept across the deck of this ship as it continued to push north through the swells on Saturday morning, but inside the windowless lower passages, the air was kept bracingly chilly, still heavy with the sterile, mechanical smell of the world's largest new car."
100,3ZVPAMTJWM2XLKA6IXZRIPHKSENRGA,3.6,5.4,4.6,45,242,61.1111111111,3.82222222222,57.7777777778,"About a week ago, geohot released an update to his iPhone jailbreaking software dubbed Blackra1n RC2, and while that was all well and good for all you AT&T guys, it did leave those of us who need a baseband unlock on our iPieces wanting more."
101,3N3WJQXELRPW3S7MEYH6U9EKC3SL2U,5.6,5.4,2.4,18,110,77.7777777778,4.83333333333,61.1111111111,"About two weeks later, the Social Security Administration sent a letter to CMS backing her claim of innocence."
103,382GHPVPHRQPQ2WKC6WUR2H1WVY43W,4.6,5.4,4.4,29,160,82.7586206897,4.31034482759,55.1724137931,"Above all, the web is shifting, from static pages to social media, from search to discovery, and the long-term leadership of that new web is still up for grabs."
